thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.25083333333333335)],[np.float64(0.08416666666666667)],[1],[0],[0],[0.9237896000122419],['Target'],0,0,0,0,0.03500299999723211,,5,0.02378139999927953,0.03500299999723211,0.03500299999723211,0.02381969999987632,0.9478633999970043,[np.float64(0.25083333333333335)],[np.float64(0.08416666666666667)],[1],[0],[0],[0.9237896000122419],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
1,0,1,[np.float64(-0.22916666666666666)],[np.float64(-0.10416666666666667)],[1],[0],[0],[0.904906600000686],['Target'],1,0,1,0,0.9698123999987729,,5,0.9607544000027701,0.9698123999987729,0.9698123999987729,0.012766399988322519,1.865898499992909,[np.float64(-0.22916666666666666)],[np.float64(-0.10416666666666667)],[1],[0],[0],[0.904906600000686],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
2,0,2,[np.float64(-0.1775)],[np.float64(0.4866666666666667)],[1],[0],[0],[1.4364569999888772],['Target'],2,0,2,0,1.8914822999940952,,5,1.8804856999922777,1.8914822999940952,1.8914822999940952,0.014460999998846091,3.3171622999943793,[np.float64(-0.1775)],[np.float64(0.4866666666666667)],[1],[0],[0],[1.4364569999888772],['Target'],2.897490499992273,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
3,0,3,"[np.float64(0.06416666666666666), np.float64(0.07083333333333333)]","[np.float64(-0.2675), np.float64(-0.265)]","[1, 1]","[0, 0]","[0, 0]","[1.1694223000085913, 1.6371934000053443]","[None, 'Target']",3,0,3,0,3.342754600002081,,5,3.332515100002638,3.342754600002081,3.342754600002081,0.015217399995890446,4.9699729999993,"[np.float64(0.06416666666666666), np.float64(0.07083333333333333)]","[np.float64(-0.2675), np.float64(-0.265)]","[1, 1]","[0, 0]","[0, 0]","[1.1694223000085913, 1.6371934000053443]","[None, 'Target']",4.348928799998248,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
4,0,4,[np.float64(-0.10833333333333334)],[np.float64(-0.3575)],[1],[0],[0],[1.3693132000043988],['Target'],4,0,4,0,5.0143627999932505,,10,5.001559399999678,5.0143627999932505,5.0143627999932505,0.03136600001016632,6.371103199999197,[np.float64(-0.10833333333333334)],[np.float64(-0.3575)],[1],[0],[0],[1.3693132000043988],['Target'],6.017466499994043,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
5,0,5,[np.float64(-0.0175)],[np.float64(-0.37333333333333335)],[1],[0],[0],[0.7691175999934785],['Target'],5,0,5,0,6.395894100001897,,5,6.385895600004005,6.395894100001897,6.395894100001897,0.01456280000275001,7.155231299999286,[np.float64(-0.0175)],[np.float64(-0.37333333333333335)],[1],[0],[0],[0.7691175999934785],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
6,0,6,[np.float64(-0.09083333333333334)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.0882946999918204],['Target'],6,0,6,0,7.198587699997006,,10,7.184047100003227,7.198587699997006,7.198587699997006,0.028676999994786456,8.272585300001083,[np.float64(-0.09083333333333334)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.0882946999918204],['Target'],8.203283399998327,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
7,0,7,[np.float64(-0.07416666666666667)],[np.float64(-0.10583333333333333)],[1],[0],[0],[0.8722420999984024],['Target'],7,0,7,0,8.316183200004161,,10,8.30158179999853,8.316183200004161,8.316183200004161,0.028835299992351793,9.17406970000593,[np.float64(-0.07416666666666667)],[np.float64(-0.10583333333333333)],[1],[0],[0],[0.8722420999984024],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
8,0,8,[np.float64(0.0025)],[np.float64(0.45)],[1],[0],[0],[0.9550686000002315],['Target'],8,0,8,0,9.216367899993202,,10,9.202915799993207,9.216367899993202,9.216367899993202,0.0286809999961406,10.158219000004465,[np.float64(0.0025)],[np.float64(0.45)],[1],[0],[0],[0.9550686000002315],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
9,0,9,[np.float64(-0.18166666666666667)],[np.float64(-0.2808333333333333)],[1],[0],[0],[1.0197661999991396],['Target'],9,0,9,0,10.183651999992435,,5,10.17387630000303,10.183651999992435,10.183651999992435,0.015455899992957711,11.19386339999619,[np.float64(-0.18166666666666667)],[np.float64(-0.2808333333333333)],[1],[0],[0],[1.0197661999991396],['Target'],11.190350599994417,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
10,0,10,[np.float64(-0.37166666666666665)],[np.float64(-0.3125)],[1],[0],[0],[0.8702903999947011],['Target'],10,0,10,0,11.237436700001126,,10,11.223317600000883,11.237436700001126,11.237436700001126,0.029324500006623566,12.09383450000314,[np.float64(-0.37166666666666665)],[np.float64(-0.3125)],[1],[0],[0],[0.8702903999947011],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
11,0,11,[np.float64(0.22333333333333333)],[np.float64(-0.16416666666666666)],[1],[0],[0],[1.6042094000004],['Target'],11,0,11,0,12.134875799994916,,10,12.122089099997538,12.134875799994916,12.134875799994916,0.02808530000038445,13.726484700004221,[np.float64(0.22333333333333333)],[np.float64(-0.16416666666666666)],[1],[0],[0],[1.6042094000004],['Target'],13.142326400004094,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
12,0,12,[np.float64(-0.24666666666666667)],[np.float64(0.3883333333333333)],[1],[0],[0],[1.4086019000096712],['Target'],12,0,12,0,13.767477700006566,,10,13.755086000004667,13.767477700006566,13.767477700006566,0.028456900006858632,15.163898800004972,[np.float64(-0.24666666666666667)],[np.float64(0.3883333333333333)],[1],[0],[0],[1.4086019000096712],['Target'],14.777261099996394,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
13,0,13,[np.float64(0.27666666666666667)],[np.float64(-0.07166666666666667)],[1],[0],[0],[1.1035824999999022],['Target'],13,0,13,0,15.188973800002714,,5,15.178605900000548,15.188973800002714,15.188973800002714,0.014550699997926131,16.282421399999293,[np.float64(0.27666666666666667)],[np.float64(-0.07166666666666667)],[1],[0],[0],[1.1035824999999022],['Target'],16.195241099994746,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
14,0,14,[np.float64(0.0975)],[np.float64(-0.18)],[1],[0],[0],[0.9541827000066405],['Target'],14,0,14,0,16.30493569999817,,5,16.295456199994078,16.30493569999817,16.30493569999817,0.012890499987406656,17.24985469999956,[np.float64(0.0975)],[np.float64(-0.18)],[1],[0],[0],[0.9541827000066405],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
15,0,15,[np.float64(0.2833333333333333)],[np.float64(0.13666666666666666)],[1],[0],[0],[0.9700463000044692],['Target'],15,0,15,0,17.275770499996725,,5,17.265576699996018,17.275770499996725,17.275770499996725,0.015549700008705258,18.235875800004578,[np.float64(0.2833333333333333)],[np.float64(0.13666666666666666)],[1],[0],[0],[0.9700463000044692],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
16,0,16,[np.float64(0.3775)],[np.float64(-0.43833333333333335)],[1],[0],[0],[1.5077100999915274],['Target'],16,0,16,0,18.276935000001686,,10,18.263416500005405,18.276935000001686,18.276935000001686,0.027371700009098276,19.771429300002637,[np.float64(0.3775)],[np.float64(-0.43833333333333335)],[1],[0],[0],[1.5077100999915274],['Target'],19.282236200000625,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
17,0,17,[np.float64(0.49333333333333335)],[np.float64(-0.16583333333333333)],[1],[0],[0],[0.8477945000049658],['Target'],17,0,17,0,19.822089399996912,,10,19.80451329999778,19.822089399996912,19.822089399996912,0.032833899997058325,20.652551899998798,[np.float64(0.49333333333333335)],[np.float64(-0.16583333333333333)],[1],[0],[0],[0.8477945000049658],['Target'],,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
18,0,18,"[np.float64(-0.5091666666666667), np.float64(-0.49166666666666664)]","[np.float64(0.02666666666666667), np.float64(0.029166666666666667)]","[1, 1]","[0, 0]","[0, 0]","[1.3725422999996226, 1.9232909999991534]","[None, 'Target']",18,0,18,0,20.67409709999629,,5,20.665367499997956,20.67409709999629,20.67409709999629,0.012679399995249696,22.588961200002814,"[np.float64(-0.5091666666666667), np.float64(-0.49166666666666664)]","[np.float64(0.02666666666666667), np.float64(0.029166666666666667)]","[1, 1]","[0, 0]","[0, 0]","[1.3725422999996226, 1.9232909999991534]","[None, 'Target']",21.684789899998577,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
19,0,19,[np.float64(0.21583333333333332)],[np.float64(0.1625)],[1],[0],[0],[1.2725011000002269],['Target'],19,0,19,0,22.629461999997147,,10,22.616078000006382,22.629461999997147,22.629461999997147,0.026850099995499477,23.88880450000579,[np.float64(0.21583333333333332)],[np.float64(0.1625)],[1],[0],[0],[1.2725011000002269],['Target'],23.637198500000522,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
20,0,20,[np.float64(-0.2991666666666667)],[np.float64(-0.07833333333333334)],[1],[0],[0],[1.022060600007535],['Target'],20,0,20,0,23.912082399998326,,5,23.903470499994,23.912082399998326,23.912082399998326,0.01430860000255052,24.92574350000359,[np.float64(-0.2991666666666667)],[np.float64(-0.07833333333333334)],[1],[0],[0],[1.022060600007535],['Target'],24.922430099992198,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
21,0,21,"[np.float64(0.02), np.float64(0.005833333333333334)]","[np.float64(-0.34), np.float64(-0.34)]","[1, 1]","[0, 0]","[0, 0]","[1.0764068999997107, 1.60737950001203]","[None, 'Target']",21,0,21,0,24.964075399999274,,10,24.951634700002614,24.964075399999274,24.964075399999274,0.025666999994427897,26.559236899993266,"[np.float64(0.02), np.float64(0.005833333333333334)]","[np.float64(-0.34), np.float64(-0.34)]","[1, 1]","[0, 0]","[0, 0]","[1.0764068999997107, 1.60737950001203]","[None, 'Target']",25.972760399992694,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
22,0,22,[np.float64(0.4766666666666667)],[np.float64(0.4216666666666667)],[1],[0],[0],[1.5685886999999639],['Target'],22,0,22,0,26.586787299995194,,5,26.577441799992812,26.586787299995194,26.586787299995194,0.01783929999510292,28.14628119999543,[np.float64(0.4766666666666667)],[np.float64(0.4216666666666667)],[1],[0],[0],[1.5685886999999639],['Target'],27.59107429999858,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
23,0,23,[np.float64(0.325)],[np.float64(-0.17583333333333334)],[1],[0],[0],[1.3202676999935647],['Target'],23,0,23,0,28.189300099998945,,10,28.1759369999927,28.189300099998945,28.189300099998945,0.02946850001171697,29.496444699994754,[np.float64(0.325)],[np.float64(-0.17583333333333334)],[1],[0],[0],[1.3202676999935647],['Target'],29.192912600003183,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
24,0,24,[np.float64(-0.295)],[np.float64(0.44333333333333336)],[1],[0],[0],[1.29198069999984],['Target'],24,0,24,0,29.534847300004913,,10,29.5222197999974,29.534847300004913,29.534847300004913,0.02555459999712184,30.814399900002172,[np.float64(-0.295)],[np.float64(0.44333333333333336)],[1],[0],[0],[1.29198069999984],['Target'],30.5437196999992,Participant 3,001,2025-09-30_13h37.11.840,visual search task,,2025.1.1,60.507525017490956,2025-09-30 13h37.29.399804 +0530,
